8282,1587248.977,679502.477
8557,1587255.131,679544.886
3254,1587313.463,679535.626
8422,1587277.098,679498.252
1773,1587310.189,679490.694
8516,1587362.950,679485.047
1342,1587356.646,679451.984
1979,1587354.366,679440.365
3995,1587351.339,679432.499
3645,1587346.517,679419.705
4353,1587416.106,679403.848
0653,1587419.679,679427.474
0634,1587420.639,679435.346
7582,1587425.488,679471.440
8613,1587408.327,679476.674
4544,1587408.849,679486.077
7257,1587410.147,679504.238
7258,1587410.113,679504.229
8499,1587410.526,679510.210
6754,1587411.117,679518.809
5700,1587411.085,679518.181
5691,1587395.945,679523.369
9799,1587374.527,679528.243
2436,1587360.343,679529.740
4634,1587352.602,679530.813
6280,1587335.683,679532.733
6251,1587328.761,679533.460
6252,1587322.740,679534.109
2657,1587381.278,679440.647
8067,1587380.554,679441.782
8049,1587381.367,679447.614
3981,1587371.557,679442.050
2729,1587372.731,679443.023
8140,1587378.782,679482.848
7813,1587386.689,679481.846
8186,1587381.218,679498.712
7485,1587389.115,679497.617
ลอย,1587396.030,679434.135
x35111,1587408.135,679500.211
x35111-1,1587408.133,679500.212
x35111-2,1587408.127,679500.216
x35111-3,1587408.129,679500.218
x35122,1587254.127,679522.176
x35122-1,1587254.123,679522.163
x35122-2,1587254.127,679522.165
x35122-3,1587254.125,679522.171
chk11,1577787.493,682644.708
2ฑ1423,1587262.220,679526.268
2ฑ0886,1587264.877,679543.131
2ฑ0887,1587267.087,679517.723
2ฑ1609,1587288.804,679495.999
2ฑ0965,1587292.992,679495.143
2ฑ1581,1587291.472,679513.771
2ฑ0851,1587295.648,679513.097
2ฑ1065,1587264.305,679500.603
2ฑ0349,1587292.765,679521.661
2ฑ0949,1587296.879,679521.056
2ฑ0907,1587299.477,679537.682
2ฑ1079,1587295.319,679538.335
2ฑ0930,1587337.095,679532.605
2ฑ1147,1587334.453,679515.204
2ฑ1575,1587332.911,679507.283
2ฑ1618,1587330.019,679488.875
2ฑ1451,1587349.143,679512.869
2ฑ1555,1587350.315,679513.786
2ฑ1308,1587358.178,679512.556
2ฑ0827,1587359.015,679511.311
2ฑ0829,1587360.752,679502.998
2ฑ0842,1587358.042,679485.740
2ฑ1015,1587353.211,679436.595
2ฑ1458,1587355.631,679444.365
2ฑ1201,1587374.743,679433.492
2ฑ1195,1587378.917,679432.899
2ฑ1488,1587376.371,679413.121
2ฑ1454,1587372.311,679413.979
2ฑ1339,1587396.225,679438.416
2ฑ1530,1587410.626,679428.225
2ฑ1594,1587411.473,679427.055
2ฑ0807,1587408.472,679405.806
2ฑ1490,1587412.827,679437.053
2ฑ1156,1587411.649,679436.157
2ฑ1441,1587416.122,679460.641
